2016-03-23 17:30:03.211|[257]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:30:03.211|[257]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:35:03.215|[241]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:35:03.215|[241]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:35:03.215|[241]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:35:03.215|[241]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:40:03.219|[240]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:40:03.219|[240]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:40:03.219|[240]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:40:03.219|[240]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:45:03.223|[230]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:45:03.223|[230]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:45:03.223|[230]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:45:03.223|[230]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:50:03.227|[223]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:50:03.227|[223]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:50:03.227|[223]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:50:03.227|[223]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:55:03.232|[216]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:55:03.232|[216]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:55:03.232|[216]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:55:03.232|[216]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:00:03.236|[209]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:00:03.236|[209]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:00:03.236|[209]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:00:03.236|[209]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:05:03.255|[204]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:05:03.255|[204]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:05:03.255|[204]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:05:03.255|[204]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:10:03.260|[199]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:10:03.260|[199]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:10:03.260|[199]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:10:03.260|[199]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:15:03.264|[190]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:15:03.264|[190]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:15:03.264|[190]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:15:03.264|[190]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:20:03.268|[182]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:20:03.268|[182]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:20:03.268|[182]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:20:03.268|[182]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:25:03.272|[177]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:25:03.272|[177]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:25:03.272|[177]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:25:03.272|[177]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:30:03.276|[167]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:30:03.276|[167]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:30:03.276|[167]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:30:03.276|[167]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:35:03.280|[162]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:35:03.280|[162]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:35:03.280|[162]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:35:03.280|[162]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:40:03.284|[158]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:40:03.284|[158]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:40:03.284|[158]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:40:03.284|[158]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:45:03.288|[47]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:45:03.288|[47]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:45:03.288|[47]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:45:03.288|[47]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:50:03.293|[49]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:50:03.293|[49]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:50:03.293|[49]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:50:03.293|[49]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 18:55:03.297|[38]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 18:55:03.297|[38]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 18:55:03.297|[38]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 18:55:03.297|[38]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 19:00:03.316|[36]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 19:00:03.316|[36]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 19:00:03.316|[36]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 19:00:03.316|[36]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 19:05:03.321|[148]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 19:05:03.321|[148]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
